Id;FirstName;LastName;Nationality;TeamId
1;Lewis;Hamilton;Britannique;1
2;George;Russell;Britannique;1
3;Max;Verstappen;Néerlandais;2
4;Sergio;Pérez;Mexicain;2
5;Charles;Leclerc;Monégasque;3
6;Carlos;Sainz;Espagnol;3
7;Lando;Norris;Britannique;4
8;Oscar;Piastri;Australien;4
9;Esteban;Ocon;Français;5
10;Pierre;Gasly;Français;6
11;Lance;Stroll;Canadien;7
12;Fernando;Alonso;Espagnol;7
13;Valtteri;Bottas;Finlandais;8
14;Zhou;Guanyu;Chinois;8
15;Kevin;Magnussen;Danois;9
16;Nico;Hülkenberg;Allemand;9
17;Alex;Albon;Thaïlandais;10
18;Logan;Sargeant;Américain;10
